wort;sent;pol;type;multiplier;combined
Terrorismus;NEG;1;nomen;-1;-1
Terrorist;NEG;1;nomen;-1;-1
MKS;NEG;1;nomen;-1;-1
Schlappheit;NEG;0.5;nomen;-1;-0.5
Quetschung;NEG;1;nomen;-1;-1
Dünnhäutigkeit;NEG;0.7;nomen;-1;-0.7
Attentat;NEG;1;nomen;-1;-1
brummeln;NEG;0.5;verben;-1;-0.5
Rechtsfrieden;POS;0.7;nomen;1;0.7
kompromittieren;NEG;1;verben;-1;-1
aufblähen;NEG;0.7;verben;-1;-0.7
amüsieren;POS;1;verben;1;1
nachweinen;NEG;1;verben;-1;-1
versumpfen;NEG;1;verben;-1;-1
Landesverrat;NEG;1;nomen;-1;-1
Bewährung;POS;0.7;nomen;1;0.7
kotzen;NEG;1;verben;-1;-1
Wollust;NEG;1;nomen;-1;-1
Wohlstandsgefälle;NEG;0.7;nomen;-1;-0.7
Mittelohrentzündung;NEG;1;nomen;-1;-1
Gediegenheit;POS;0.7;nomen;1;0.7
erlauben;POS;0.7;verben;1;0.7
Bärendienst;POS;1;nomen;1;1
Unreife;NEG;0.7;nomen;-1;-0.7
grinsen;POS;0.5;verben;1;0.5
Beschiss;NEG;1;nomen;-1;-1
Protzerei;NEG;1;nomen;-1;-1
Tabellenaufstieg;POS;0.5;nomen;1;0.5
entspannen;POS;1;verben;1;1
Widernatürlichkeit;NEG;0.7;nomen;-1;-0.7
Lungentuberkulose;NEG;1;nomen;-1;-1
Bombenattentat;NEG;1;nomen;-1;-1
Kahlschlag;NEG;1;nomen;-1;-1
Penetranz;NEG;1;nomen;-1;-1
Gram;NEG;1;nomen;-1;-1
fremdtun;NEG;0.7;verben;-1;-0.7
Solidarität;POS;1;nomen;1;1
Zwangsläufigkeit;NEG;0.7;nomen;-1;-0.7
zusammenstauchen;NEG;1;verben;-1;-1
anöden;NEG;0.7;verben;-1;-0.7
ziemlich;INT;2;adj;0;0
Produktinnovation;POS;1;nomen;1;1
gedeihen;POS;0.7;verben;1;0.7
Aura;POS;1;nomen;1;1
Schockiertheit;NEG;1;nomen;-1;-1
Abkanzelung;NEG;1;nomen;-1;-1
Balkankrieg;NEG;1;nomen;-1;-1
berserkern;NEG;1;verben;-1;-1
Feindlichkeit;NEG;1;nomen;-1;-1
verachten;NEG;1;verben;-1;-1
Planungssicherheit;POS;0.7;nomen;1;0.7
bestechen;NEG;1;verben;-1;-1
Selbstbestimmungsrecht;POS;1;nomen;1;1
Unfreiwilligkeit;NEG;0.7;nomen;-1;-0.7
Aderlaß;NEG;1;nomen;-1;-1
Auftrieb;POS;0.5;nomen;1;0.5
germanisieren;NEG;0.7;verben;-1;-0.7
Reaktorsicherheit;POS;1;nomen;1;1
Kuraufenthalt;POS;0.7;nomen;1;0.7
Schleimbeutelentzündung;NEG;1;nomen;-1;-1
gut_betucht;POS;0.5;adj;1;0.5
Irritieren;NEG;0.7;nomen;-1;-0.7
Schwung;POS;0.5;nomen;1;0.5
Vermählung;POS;0.7;nomen;1;0.7
Geschäftigkeit;POS;0.5;nomen;1;0.5
Kapitalerhöhung;POS;0.5;nomen;1;0.5
Hundebiss;NEG;1;nomen;-1;-1
Bestürzung;NEG;1;nomen;-1;-1
hinausschmeißen;NEG;1;verben;-1;-1
abrackern;NEG;1;verben;-1;-1
Spannung;POS;0.7;nomen;1;0.7
überordnen;POS;0.5;verben;1;0.5
Tötung;NEG;1;nomen;-1;-1
schmähen;NEG;1;verben;-1;-1
Herzenserguss;POS;1;nomen;1;1
Durchsetzungskraft;POS;1;nomen;1;1
Epilepsie;NEG;1;nomen;-1;-1
Ängstlichkeit;NEG;0.7;nomen;-1;-0.7
Eiserne_Hochzeit;POS;0.7;nomen;1;0.7
verzeihen;POS;0.7;verben;1;0.7
Schauer;NEG;0.7;nomen;-1;-0.7
Führungspersönlichkeit;POS;0.7;nomen;1;0.7
Vervollkommnung;POS;1;nomen;1;1
Verschwisterung;POS;0.7;nomen;1;0.7
Leichtfertigkeit;NEG;0.5;nomen;-1;-0.5
Maßregelung;NEG;0.7;nomen;-1;-0.7
bangen;NEG;1;verben;-1;-1
Abknallen;NEG;1;nomen;-1;-1
Eierstockentzündung;NEG;1;nomen;-1;-1
Gemeinschaftsgeist;POS;1;nomen;1;1
Wirtschaftsboykott;NEG;1;nomen;-1;-1
Aufschwung;POS;1;nomen;1;1
Arbeitserlaubnis;POS;1;nomen;1;1
Tablettenabhängigkeit;NEG;1;nomen;-1;-1
Verkalkung;NEG;1;nomen;-1;-1
Abtragung;NEG;0.7;nomen;-1;-0.7
verbünden;POS;0.7;verben;1;0.7
Langeweile;NEG;0.7;nomen;-1;-0.7
Liebesdienst;POS;0.7;nomen;1;0.7
Magengeschwür;NEG;1;nomen;-1;-1
Schulausbildung;POS;1;nomen;1;1
schnüffeln;NEG;1;verben;-1;-1
ankreiden;NEG;0.7;verben;-1;-0.7
Schuld;NEG;1;nomen;-1;-1
Reue;POS;1;nomen;1;1
getrennt_lebend;NEG;0.7;adj;-1;-0.7
Phantomschmerz;NEG;1;nomen;-1;-1
Rücksichtslosigkeit;NEG;1;nomen;-1;-1
Augenwischerei;NEG;0.7;nomen;-1;-0.7
Schweinerei;NEG;1;nomen;-1;-1
Selbständigkeit;POS;0.7;nomen;1;0.7
ängstigen;NEG;1;verben;-1;-1
Witz;POS;1;nomen;1;1
foppen;NEG;0.7;verben;-1;-0.7
verzücken;POS;1;verben;1;1
Beinverletzung;NEG;1;nomen;-1;-1
Rivalität;NEG;0.7;nomen;-1;-0.7
Oberschenkelhalsbruch;NEG;1;nomen;-1;-1
ausweinen;NEG;0.5;verben;-1;-0.5
Rechtmäßigkeit;POS;1;nomen;1;1
Importverbot;NEG;1;nomen;-1;-1
Machtspiel;NEG;0.7;nomen;-1;-0.7
verbriefen;POS;0.5;verben;1;0.5
Schonungslosigkeit;NEG;1;nomen;-1;-1
Fälschen;NEG;1;nomen;-1;-1
Todesangst;NEG;1;nomen;-1;-1
Urlaubsvergnügen;POS;0.7;nomen;1;0.7
Heroinabhängigkeit;NEG;1;nomen;-1;-1
gegenüber_treten;POS;0.5;verben;1;0.5
Spionage;NEG;1;nomen;-1;-1
Spion;NEG;1;nomen;-1;-1
Eßsucht;NEG;1;nomen;-1;-1
Aids;NEG;1;nomen;-1;-1
Luftreinhaltung;POS;1;nomen;1;1
Säuglingssterberate;NEG;1;nomen;-1;-1
sensibilisieren;POS;1;verben;1;1
lügen;NEG;1;verben;-1;-1
Reizwort;NEG;0.7;nomen;-1;-0.7
Inplausibilität;NEG;0.7;nomen;-1;-0.7
Unnatürlichkeit;NEG;0.7;nomen;-1;-0.7
Lächerlichkeit;NEG;1;nomen;-1;-1
Gebundenheit;NEG;0.5;nomen;-1;-0.5
brummen;NEG;0.5;verben;-1;-0.5
Maßgenauigkeit;POS;0.7;nomen;1;0.7
Entziehungskur;POS;0.7;nomen;1;0.7
Kriegsgefangenschaft;NEG;1;nomen;-1;-1
unterliegen;NEG;0.5;verben;-1;-0.5
dringen;NEG;0.7;verben;-1;-0.7
Trost;POS;1;nomen;1;1
Begeisterungsfähigkeit;POS;1;nomen;1;1
Befriedung;POS;0.7;nomen;1;0.7
Restaurierung;POS;0.7;nomen;1;0.7
Verdauungsstörung;NEG;0.7;nomen;-1;-0.7
strapazieren;NEG;0.7;verben;-1;-0.7
Entschuldigung;POS;0.7;nomen;1;0.7
herbeiwünschen;POS;0.5;verben;1;0.5
Infektionskrankheit;NEG;1;nomen;-1;-1
Unvertretbarkeit;NEG;0.7;nomen;-1;-0.7
erheitern;POS;1;verben;1;1
Ruhe;POS;0.7;nomen;1;0.7
ausruhen;POS;0.7;verben;1;0.7
Exitenzkrise;NEG;1;nomen;-1;-1
Seelenverwandtschaft;POS;0.7;nomen;1;0.7
propagieren;POS;1;verben;1;1
Meuchelmord;NEG;1;nomen;-1;-1
verdächtigen;NEG;0.7;verben;-1;-0.7
Kriegsgräuel;NEG;1;nomen;-1;-1
Festigung;POS;0.7;nomen;1;0.7
Glanz;POS;1;nomen;1;1
auflehnen;NEG;1;verben;-1;-1
kriechen;NEG;0.5;verben;-1;-0.5
Sich-wohl-Fühlen;POS;1;nomen;1;1
verkalkulieren;NEG;1;verben;-1;-1
Scharm;POS;1;nomen;1;1
Gleichstellung;POS;1;nomen;1;1
Venia_legendi;POS;1;nomen;1;1
miesmachen;NEG;1;verben;-1;-1
Waffengewalt;NEG;1;nomen;-1;-1
Amtsmissbrauch;NEG;1;nomen;-1;-1
Zahnhalsentzündung;NEG;1;nomen;-1;-1
Mut;POS;1;nomen;1;1
Umweltfeindlichkeit;NEG;1;nomen;-1;-1
niederdrücken;NEG;1;verben;-1;-1
Scharmützel;NEG;0.7;nomen;-1;-0.7
zweifeln;NEG;0.5;verben;-1;-0.5
entgegenhalten;NEG;0.5;verben;-1;-0.5
promoviert_werden;POS;0.7;verben;1;0.7
Immunschwächekrankheit;NEG;1;nomen;-1;-1
Keuchhusten;NEG;1;nomen;-1;-1
herabsetzen;NEG;1;verben;-1;-1
Brauchbarkeit;POS;0.7;nomen;1;0.7
genieren;NEG;0.5;verben;-1;-0.5
Darmkrebs;NEG;1;nomen;-1;-1
fluchen;NEG;1;verben;-1;-1
degagieren;POS;0.5;verben;1;0.5
Vertrauenswürdigkeit;POS;1;nomen;1;1
Lob;POS;1;nomen;1;1
keuchen;NEG;0.5;verben;-1;-0.5
absterben;NEG;1;verben;-1;-1
Sklavenarbeit;NEG;1;nomen;-1;-1
begütigen;POS;1;verben;1;1
Mief;NEG;0.5;nomen;-1;-0.5
Schulden;NEG;0.7;nomen;-1;-0.7
abschürfen;NEG;0.7;verben;-1;-0.7
hassen;NEG;1;verben;-1;-1
Charakterstärke;POS;1;nomen;1;1
Kinderkrankheit;NEG;1;nomen;-1;-1
entschädigen;POS;0.7;verben;1;0.7
Frevel;NEG;1;nomen;-1;-1
Schläge;NEG;1;nomen;-1;-1
Wirbel;NEG;0.5;nomen;-1;-0.5
Befreiungskampf;NEG;0.7;nomen;-1;-0.7
göbeln;NEG;1;verben;-1;-1
Entführung;NEG;1;nomen;-1;-1
Verfassungsreform;POS;0.7;nomen;1;0.7
Ernüchterung;NEG;1;nomen;-1;-1
Ratifizierung;POS;0.7;nomen;1;0.7
Lähmung;NEG;1;nomen;-1;-1
Wohlstand;POS;1;nomen;1;1
Mißbildung;NEG;1;nomen;-1;-1
Alkoholeinfluss;NEG;1;nomen;-1;-1
Duckmäusertum;NEG;1;nomen;-1;-1
prädikatisieren;POS;0.7;verben;1;0.7
Minderwertigkeitskomplex;NEG;1;nomen;-1;-1
verpäppeln;POS;0.5;verben;1;0.5
Fußpilz;NEG;0.7;nomen;-1;-0.7
tabuieren;NEG;0.7;verben;-1;-0.7
Selbstdisziplin;POS;0.7;nomen;1;0.7
ausmustern;NEG;0.5;verben;-1;-0.5
Ballerei;NEG;1;nomen;-1;-1
danksagen;POS;0.7;verben;1;0.7
fingieren;NEG;1;verben;-1;-1
Grazie;POS;1;nomen;1;1
fertigmachen;NEG;0.7;verben;-1;-0.7
Karriereleiter;POS;1;nomen;1;1
Gnade;POS;1;nomen;1;1
Steuerdelikt;NEG;1;nomen;-1;-1
belügen;NEG;1;verben;-1;-1
Zahnfäule;NEG;1;nomen;-1;-1
Sühne;POS;0.7;nomen;1;0.7
verpönen;NEG;1;verben;-1;-1
Agrarreform;POS;0.7;nomen;1;0.7
Fürsorglichkeit;POS;1;nomen;1;1
Aufstand;NEG;1;nomen;-1;-1
schade;NEG;0.7;adj;-1;-0.7
weiterempfehlen;POS;0.7;verben;1;0.7
weiterzuempfehlen;POS;0.7;adj;1;0.7
fesseln;NEG;0.7;verben;-1;-0.7
Erfolglosigkeit;NEG;0.7;nomen;-1;-0.7
Gespött;NEG;1;nomen;-1;-1
nützen;POS;0.7;verben;1;0.7
Extremisten;NEG;1;nomen;-1;-1
Mittelmäßigkeit;NEG;0.7;nomen;-1;-0.7
Sakrileg;NEG;1;nomen;-1;-1
Impotenz;NEG;1;nomen;-1;-1
Zorn;NEG;1;nomen;-1;-1
Doping;NEG;1;nomen;-1;-1
reflektieren;POS;0.7;verben;1;0.7
mögen;POS;1;verben;1;1
verpassen;NEG;0.5;verben;-1;-0.5
Vorspiegelung;NEG;0.7;nomen;-1;-0.7
Widerwille;NEG;0.7;nomen;-1;-0.7
vortäuschen;NEG;0.7;verben;-1;-0.7
konterkarieren;NEG;1;verben;-1;-1
wurmen;NEG;0.5;verben;-1;-0.5
veralbern;NEG;0.5;verben;-1;-0.5
harmonisieren;POS;0.5;verben;1;0.5
Unruhe;NEG;0.7;nomen;-1;-0.7
Schusswunde;NEG;1;nomen;-1;-1
Gefahrenpotential;NEG;1;nomen;-1;-1
metastasieren;NEG;1;verben;-1;-1
Radikalkur;NEG;0.7;nomen;-1;-0.7
Optimismus;POS;1;nomen;1;1
Bündnistreue;POS;0.5;nomen;1;0.5
Superstimmung;POS;1;nomen;1;1
herausekeln;NEG;1;verben;-1;-1
mühen;POS;0.7;verben;1;0.7
Altersschwäche;NEG;0.7;nomen;-1;-0.7
Charisma;POS;1;nomen;1;1
fallenlassen;NEG;0.7;verben;-1;-0.7
kriminalisieren;NEG;1;verben;-1;-1
Eskalation;NEG;1;nomen;-1;-1
Hauterkrankung;NEG;1;nomen;-1;-1
Zukunftsangst;NEG;1;nomen;-1;-1
Vertuschung;NEG;0.7;nomen;-1;-0.7
freigeben;POS;0.5;verben;1;0.5
schummeln;NEG;0.7;verben;-1;-0.7
abschwellen;POS;0.7;verben;1;0.7
Tumult;NEG;1;nomen;-1;-1
Kostbarkeit;POS;1;nomen;1;1
Müllbeseitigung;NEG;1;nomen;-1;-1
Altlastensanierung;POS;0.5;nomen;1;0.5
Gotteslästerung;NEG;1;nomen;-1;-1
entgegentreten;POS;0.7;verben;1;0.7
aufputschen;POS;0.7;verben;1;0.7
Haftentlassung;POS;1;nomen;1;1
Rappel;NEG;1;nomen;-1;-1
beehren;POS;1;verben;1;1
geistig_behindert;NEG;1;adj;-1;-1
blödeln;NEG;0.5;verben;-1;-0.5
dürsten;NEG;0.7;verben;-1;-0.7
Drogenlieferung;NEG;1;nomen;-1;-1
marginalisieren;NEG;1;verben;-1;-1
besser_stellen;POS;0.7;verben;1;0.7
Strafmaßnahme;NEG;1;nomen;-1;-1
beurlauben;NEG;0.7;verben;-1;-0.7
Beibehalten;POS;0.5;nomen;1;0.5
Moralität;POS;1;nomen;1;1
Takt;POS;0.7;nomen;1;0.7
abschließen;POS;0.5;verben;1;0.5
Neubereifung;POS;0.5;nomen;1;0.5
mythologisieren;NEG;0.5;verben;-1;-0.5
Mückenstich;NEG;0.5;nomen;-1;-0.5
Händel;NEG;0.7;nomen;-1;-0.7
zufrieden_sein;POS;1;verben;1;1
Zweckmäßigkeit;POS;0.7;nomen;1;0.7
Schmerzattacke;NEG;1;nomen;-1;-1
Empfindsamkeit;POS;0.7;nomen;1;0.7
Muffe;NEG;0.7;nomen;-1;-0.7
verfolgen;NEG;0.7;verben;-1;-0.7
Anlagebetrug;NEG;1;nomen;-1;-1
Ikonoklasmus;NEG;1;nomen;-1;-1
Judenmord;NEG;1;nomen;-1;-1
Männerfreundschaft;POS;0.7;nomen;1;0.7
Nervenstärke;POS;1;nomen;1;1
Parteienverdrossenheit;NEG;1;nomen;-1;-1
Bekümmernis;NEG;1;nomen;-1;-1
Glück;POS;1;nomen;1;1
Weltfrieden;POS;1;nomen;1;1
Untreue;NEG;1;nomen;-1;-1
Missbrauch;NEG;1;nomen;-1;-1
Traumreise;POS;0.7;nomen;1;0.7
misshandeln;NEG;1;verben;-1;-1
Kaltschnäuzigkeit;NEG;1;nomen;-1;-1
Vertragstreue;POS;0.7;nomen;1;0.7
neiden;NEG;1;verben;-1;-1
Arglistigkeit;NEG;1;nomen;-1;-1
strafen;NEG;1;verben;-1;-1
bestreiten;NEG;0.7;verben;-1;-0.7
Militarisierung;NEG;1;nomen;-1;-1
bejubeln;POS;1;verben;1;1
einwenden;NEG;0.5;verben;-1;-0.5
Ausbleiben;NEG;0.7;nomen;-1;-0.7
berichtigen;POS;0.5;verben;1;0.5
Feindschaft;NEG;1;nomen;-1;-1
Fassungslosigkeit;NEG;1;nomen;-1;-1
Krawall;NEG;1;nomen;-1;-1
Trübsinnigkeit;NEG;1;nomen;-1;-1
Verdrossenheit;NEG;1;nomen;-1;-1
Beilegung;POS;1;nomen;1;1
Unfreundlichkeit;NEG;1;nomen;-1;-1
Vormacht;NEG;1;nomen;-1;-1
Schwesterlichkeit;POS;1;nomen;1;1
verhätscheln;NEG;0.7;verben;-1;-0.7
Raffinement;POS;1;nomen;1;1
Bombardierung;NEG;1;nomen;-1;-1
Kulturschatz;POS;1;nomen;1;1
Schauder;NEG;0.7;nomen;-1;-0.7
Gegenliebe;POS;1;nomen;1;1
verletzen;NEG;1;verben;-1;-1
versteifen;NEG;0.7;verben;-1;-0.7
Entgeisterung;NEG;1;nomen;-1;-1
Fehlkalkulation;NEG;0.7;nomen;-1;-0.7
Wechselbad;NEG;0.5;nomen;-1;-0.5
Ausnutzen;NEG;1;nomen;-1;-1
Desinteresse;NEG;0.7;nomen;-1;-0.7
Heroinmißbrauch;NEG;1;nomen;-1;-1
Unglück;NEG;1;nomen;-1;-1
auseinander_leben;NEG;0.7;verben;-1;-0.7
Impetus;POS;0.7;nomen;1;0.7
Hochstimmung;POS;1;nomen;1;1
kaltstellen;NEG;1;verben;-1;-1
schaden;NEG;1;verben;-1;-1
Duell;NEG;0.7;nomen;-1;-0.7
Erkrankung;NEG;1;nomen;-1;-1
hoch_begabt;POS;1;adj;1;1
Abschuss;NEG;0.7;nomen;-1;-0.7
Naturschutzaktion;POS;1;nomen;1;1
Koalitionsstreit;NEG;0.7;nomen;-1;-0.7
Konsumrausch;NEG;1;nomen;-1;-1
Vietnamkrieg;NEG;1;nomen;-1;-1
Schuppenflechte;NEG;0.7;nomen;-1;-0.7
Wortgefecht;NEG;0.7;nomen;-1;-0.7
Störfaktor;NEG;1;nomen;-1;-1
herwünschen;POS;0.7;verben;1;0.7
Zahnkrankheit;NEG;1;nomen;-1;-1
Rationalisierung;NEG;1;nomen;-1;-1
Bewußtlosigkeit;NEG;1;nomen;-1;-1
verundeutlichen;NEG;1;verben;-1;-1
Verstümmelung;NEG;1;nomen;-1;-1
Bürgerfreundlichkeit;POS;0.5;nomen;1;0.5
Erschöpfungssyndrom;NEG;1;nomen;-1;-1
zustimmen;POS;0.5;verben;1;0.5
dahinleben;NEG;0.7;verben;-1;-0.7
Sexsucht;NEG;1;nomen;-1;-1
Arbeitsunfähigkeit;NEG;1;nomen;-1;-1
Hinfälligkeit;NEG;0.5;nomen;-1;-0.5
Erregbarkeit;NEG;0.7;nomen;-1;-0.7
Tierliebe;POS;0.7;nomen;1;0.7
dominieren;POS;0.5;verben;1;0.5
aufmucken;NEG;1;verben;-1;-1
Betrug;NEG;1;nomen;-1;-1
zeihen;NEG;1;verben;-1;-1
fertig_machen;NEG;1;verben;-1;-1
Kokainabhangigkeit;NEG;1;nomen;-1;-1
Agoraphobie;NEG;1;nomen;-1;-1
Blumenpracht;POS;0.7;nomen;1;0.7
Bosheit;NEG;1;nomen;-1;-1
Ermordung;NEG;1;nomen;-1;-1
Senge;NEG;0.7;nomen;-1;-0.7
Abkapselung;NEG;0.7;nomen;-1;-0.7
Selbstbestimmung;POS;1;nomen;1;1
Anteilnahme;POS;1;nomen;1;1
nobilitieren;POS;0.7;verben;1;0.7
beanspruchen;NEG;0.5;verben;-1;-0.5
Hautabschürfung;NEG;0.7;nomen;-1;-0.7
Sprechstörung;NEG;1;nomen;-1;-1
Gefängnishaft;NEG;1;nomen;-1;-1
Unheilbarkeit;NEG;1;nomen;-1;-1
Arretierung;NEG;0.7;nomen;-1;-0.7
Schizophrenie;NEG;1;nomen;-1;-1
Regungslosigkeit;NEG;1;nomen;-1;-1
Lehrerausbildung;POS;0.5;nomen;1;0.5
zerfallen;NEG;1;verben;-1;-1
Bleiben;POS;0.7;nomen;1;0.7
Atomkrieg;NEG;1;nomen;-1;-1
sponsern;POS;0.7;verben;1;0.7
garantieren;POS;0.7;verben;1;0.7
Frühwarnsystem;POS;0.7;nomen;1;0.7
Unvollkommenheit;NEG;0.7;nomen;-1;-0.7
Meineid;NEG;1;nomen;-1;-1
Ungetrübtheit;POS;0.7;nomen;1;0.7
sitzenbleiben;NEG;0.7;verben;-1;-0.7
Stellungskrieg;NEG;1;nomen;-1;-1
Schnupfen;NEG;0.5;nomen;-1;-0.5
Rache;NEG;1;nomen;-1;-1
wimmern;NEG;1;verben;-1;-1
Pollenallergie;NEG;1;nomen;-1;-1
Firmengründung;POS;0.5;nomen;1;0.5
anbiedern;NEG;1;verben;-1;-1
bestätigen;POS;0.5;verben;1;0.5
Höflichkeitsbesuch;POS;0.5;nomen;1;0.5
Konservierung;POS;0.5;nomen;1;0.5
rauspfeffern;NEG;0.7;verben;-1;-0.7
Müllverbrennung;NEG;0.7;nomen;-1;-0.7
Frühlingsgefühle;POS;1;nomen;1;1
Hörbehinderung;NEG;1;nomen;-1;-1
Schreikrampf;NEG;1;nomen;-1;-1
nacheifern;POS;0.5;verben;1;0.5
aufarbeiten;POS;0.7;verben;1;0.7
Weiterverwendung;POS;0.7;nomen;1;0.7
Massenvernichtung;NEG;1;nomen;-1;-1
Diabetes_mellitus;NEG;1;nomen;-1;-1
Fairneß;POS;1;nomen;1;1
schmarotzern;NEG;1;verben;-1;-1
Seelenlosigkeit;NEG;1;nomen;-1;-1
Gedächtnisschwund;NEG;1;nomen;-1;-1
vorschreiben;NEG;0.7;verben;-1;-0.7
grimassieren;NEG;0.5;verben;-1;-0.5
murren;NEG;0.7;verben;-1;-0.7
ausstoßen;NEG;1;verben;-1;-1
Pseudokrupp;NEG;1;nomen;-1;-1
devitalisieren;NEG;0.7;verben;-1;-0.7
belustigen;POS;1;verben;1;1
bewundern;POS;1;verben;1;1
verfälschen;NEG;1;verben;-1;-1
Blickfang;POS;0.7;nomen;1;0.7
Unwille;NEG;0.7;nomen;-1;-0.7
Tatendrang;POS;1;nomen;1;1
bezirzen;POS;1;verben;1;1
Vertrauensverlust;NEG;1;nomen;-1;-1
Firmenspionage;NEG;1;nomen;-1;-1
Handverletzung;NEG;1;nomen;-1;-1
Trug;NEG;1;nomen;-1;-1
dressieren;NEG;0.7;verben;-1;-0.7
Innigkeit;POS;1;nomen;1;1
Verliebtheit;POS;1;nomen;1;1
abspeisen;NEG;1;verben;-1;-1
Medikamentenkonsum;NEG;0.7;nomen;-1;-0.7
Geltungssucht;NEG;1;nomen;-1;-1
Entfaltungsmöglichkeit;POS;0.7;nomen;1;0.7
Leuchtkraft;POS;0.7;nomen;1;0.7
Autarkie;POS;0.7;nomen;1;0.7
Endlichkeit;NEG;0.7;nomen;-1;-0.7
Erbitterung;NEG;1;nomen;-1;-1
Rheuma;NEG;1;nomen;-1;-1
Spießrutenlaufen;NEG;0.5;nomen;-1;-0.5
Urlaubsgenuss;POS;1;nomen;1;1
schäumen;NEG;0.7;verben;-1;-0.7
Geräuschkulisse;NEG;0.5;nomen;-1;-0.5
verdorren;NEG;0.5;verben;-1;-0.5
Schleudertrauma;NEG;1;nomen;-1;-1
Mitmenschlichkeit;POS;1;nomen;1;1
Deformierung;NEG;1;nomen;-1;-1
Heulkrampf;NEG;1;nomen;-1;-1
Neuentwicklung;POS;0.7;nomen;1;0.7
übel_nehmen;NEG;1;verben;-1;-1
Esprit;POS;1;nomen;1;1
Trotzreaktion;NEG;1;nomen;-1;-1
Persönlichkeitsspaltung;NEG;1;nomen;-1;-1
Paradoxie;NEG;1;nomen;-1;-1
Zufälligkeit;NEG;0.7;nomen;-1;-0.7
Wissbegierde;POS;0.5;nomen;1;0.5
Lehrbefähigung;POS;0.7;nomen;1;0.7
Heimatlosigkeit;NEG;0.7;nomen;-1;-0.7
Allmacht;POS;0.7;nomen;1;0.7
zuwider_sein;NEG;0.7;verben;-1;-0.7
Zeckenstich;NEG;1;nomen;-1;-1
Präzision;POS;1;nomen;1;1
Ausrotten;NEG;1;nomen;-1;-1
Todsünde;NEG;0.7;nomen;-1;-0.7
befallen;NEG;0.7;verben;-1;-0.7
Wundrose;NEG;1;nomen;-1;-1
Appeal;POS;1;nomen;1;1
kümmern;POS;0.7;verben;1;0.7
missionieren;POS;0.5;verben;1;0.5
Publikumsgunst;POS;0.7;nomen;1;0.7
Noblesse;POS;1;nomen;1;1
tabuisieren;NEG;0.7;verben;-1;-0.7
Fehlerursache;NEG;0.5;nomen;-1;-0.5
Gardinenpredigt;NEG;1;nomen;-1;-1
Erbarmunslosigkeit;NEG;1;nomen;-1;-1
Lobpreisung;POS;1;nomen;1;1
Militärschlag;NEG;1;nomen;-1;-1
Fleischwunde;NEG;1;nomen;-1;-1
Gefühlstiefe;POS;0.7;nomen;1;0.7
anekeln;NEG;1;verben;-1;-1
widerstehen;POS;1;verben;1;1
Volksverhetzung;NEG;1;nomen;-1;-1
Gemeinschaftsfähigkeit;POS;0.5;nomen;1;0.5
grämen;NEG;1;verben;-1;-1
habilitieren;POS;0.7;verben;1;0.7
krakeelen;NEG;1;verben;-1;-1
Transparenz;POS;0.5;nomen;1;0.5
berechtigen;POS;0.7;verben;1;0.7
Unglaubwürdigkeit;NEG;1;nomen;-1;-1
Massenschlägerei;NEG;1;nomen;-1;-1
Unrecht;NEG;1;nomen;-1;-1
herunterstufen;NEG;0.5;verben;-1;-0.5
Förderprogramm;POS;0.7;nomen;1;0.7
Bewusstseinsstörung;NEG;1;nomen;-1;-1
Falschaussage;NEG;1;nomen;-1;-1
Zigarettenabhängigkeit;NEG;1;nomen;-1;-1
verzweifeln;NEG;1;verben;-1;-1
ausspannen;POS;0.7;verben;1;0.7
diskriminieren;NEG;1;verben;-1;-1
Schlampigkeit;NEG;1;nomen;-1;-1
Vorherrschaft;NEG;1;nomen;-1;-1
Atemnot;NEG;1;nomen;-1;-1
anfahren;NEG;0.7;verben;-1;-0.7
Dämonisierung;NEG;1;nomen;-1;-1
Humor;POS;1;nomen;1;1
Ausdauer;POS;0.7;nomen;1;0.7
freien;POS;0.5;verben;1;0.5
Hysterie;NEG;1;nomen;-1;-1
Nepotismus;NEG;0.7;nomen;-1;-0.7
mopsen;NEG;0.7;verben;-1;-0.7
Hochzeitsreise;POS;0.7;nomen;1;0.7
Mauschelei;NEG;0.7;nomen;-1;-0.7
abstreiten;NEG;0.7;verben;-1;-0.7
Abschätzigkeit;NEG;1;nomen;-1;-1
Bodenreform;POS;0.7;nomen;1;0.7
Betriebsgenehmigung;POS;0.5;nomen;1;0.5
Anbiederung;NEG;0.7;nomen;-1;-0.7
autorisieren;POS;0.5;verben;1;0.5
Blutvergiftung;NEG;1;nomen;-1;-1
Kieferbruch;NEG;1;nomen;-1;-1
Hautkrebs;NEG;1;nomen;-1;-1
Landreform;POS;0.7;nomen;1;0.7
Abfälligkeit;NEG;1;nomen;-1;-1
Gaudi;POS;1;nomen;1;1
Sanftmut;POS;1;nomen;1;1
regenerieren;POS;0.7;verben;1;0.7
einlullen;NEG;1;verben;-1;-1
Agonie;NEG;1;nomen;-1;-1
versüßen;POS;0.7;verben;1;0.7
Lachen;POS;1;nomen;1;1
Menschenhandel;NEG;1;nomen;-1;-1
Augenkrankheit;NEG;1;nomen;-1;-1
Blasenstein;NEG;1;nomen;-1;-1
lustig_machen;NEG;1;verben;-1;-1
Arbeitsplatzverlust;NEG;1;nomen;-1;-1
Abschiebung;NEG;1;nomen;-1;-1
mitbestimmen;POS;0.7;verben;1;0.7
Komfort;POS;0.7;nomen;1;0.7
Meinungsfreiheit;POS;1;nomen;1;1
